Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
11/12/2019,Tuesday,9:30 AM,18,7,10,3,3,41
11/12/2019,Tuesday,10:30 AM,31,8,35,4,0,78
11/12/2019,Tuesday,10:30 AM,35,13,30,11,5,94
11/12/2019,Tuesday,1:30 PM,27,10,13,17,2,69
11/12/2019,Tuesday,2:30 PM,22,7,11,5,1,46
11/12/2019,Tuesday,3:30 PM,30,10,19,3,2,64
11/12/2019,Tuesday,4:30 PM,27,8,19,4,2,60
11/12/2019,Tuesday,5:30 PM,9,6,18,13,0,46
11/12/2019,Tuesday,6:30 PM,10,3,9,11,3,36
11/12/2019,Tuesday,7:30 PM,9,3,5,2,0,19
11/12/2019,Tuesday,8:30 PM,6,2,8,1,0,17
11/13/2019,Wednesday,7:30 AM,3,0,1,0,0,4
11/13/2019,Wednesday,8:30 AM,17,2,3,1,0,23
11/13/2019,Wednesday,9:30 AM,22,6,7,1,0,36
11/13/2019,Wednesday,10:30 AM,33,10,13,4,0,60
11/13/2019,Wednesday,11:30 AM,31,7,17,3,0,58
11/13/2019,Wednesday,12:30 PM,56,11,42,9,0,118
11/13/2019,Wednesday,1:30 PM,24,9,7,8,2,50
11/13/2019,Wednesday,2:30 PM,26,10,15,14,6,71
11/13/2019,Wednesday,3:30 PM,15,7,13,3,3,41
11/13/2019,Wednesday,4:30 PM,17,6,11,6,0,40
11/13/2019,Wednesday,6:30 PM,22,3,4,16,0,45
11/13/2019,Wednesday,7:30 PM,11,3,5,9,2,30
11/13/2019,Wednesday,8:30 PM,9,1,8,11,1,30
11/14/2019,Thursday,7:30 AM,2,1,1,0,0,4
11/14/2019,Thursday,9:30 AM,16,4,11,1,2,34
11/14/2019,Thursday,10:30 AM,45,9,25,6,6,91
11/14/2019,Thursday,11:30 AM,22,7,17,10,1,57
11/14/2019,Thursday,1:30 PM,29,7,16,5,2,59
11/14/2019,Thursday,5:30 PM,17,6,12,2,0,37
11/14/2019,Thursday,6:30 PM,9,3,13,1,0,26
11/14/2019,Thursday,7:30 PM,13,3,3,2,0,21
11/14/2019,Thursday,8:30 PM,5,1,2,0,0,8
11/15/2019,Friday,7:30 AM,2,0,0,0,0,2
11/15/2019,Friday,8:30 AM,5,1,2,0,1,9
11/15/2019,Friday,9:30 AM,6,2,1,1,0,10
11/15/2019,Friday,10:30 AM,11,3,3,0,0,17
11/15/2019,Friday,12:30 PM,6,2,6,0,4,18
11/15/2019,Friday,1:30 PM,9,3,7,0,1,20
11/15/2019,Friday,5:30 PM,8,4,1,0,0,13
11/15/2019,Friday,6:30 PM,7,3,4,0,0,14
11/15/2019,Friday,7:30 PM,7,3,4,0,0,14
11/15/2019,Friday,8:30 PM,6,2,1,1,0,10
11/16/2019,Saturday,9:30 AM,2,0,0,2,0,4
11/16/2019,Saturday,10:30 AM,5,0,2,2,1,10
11/16/2019,Saturday,12:30 PM,11,1,4,1,2,19
11/16/2019,Saturday,1:30 PM,11,3,7,0,0,21
11/16/2019,Saturday,2:30 PM,11,4,6,0,0,21
11/16/2019,Saturday,4:30 PM,9,0,4,0,1,14
11/18/2019,Monday,7:30 AM,2,0,1,0,0,3
11/18/2019,Monday,8:30 AM,12,4,10,0,0,26
11/18/2019,Monday,9:30 AM,15,6,16,2,0,39
11/18/2019,Monday,11:30 AM,32,8,12,3,0,55
11/18/2019,Monday,11:30 AM,32,8,12,3,0,55
11/18/2019,Monday,12:30 PM,52,8,49,2,0,111
11/18/2019,Monday,1:30 PM,23,6,15,4,2,50
11/18/2019,Monday,2:30 PM,24,5,8,2,3,42
11/18/2019,Monday,3:30 PM,21,8,10,0,1,40
11/19/2019,Tuesday,7:30 AM,3,0,1,0,0,4
11/19/2019,Tuesday,8:30 AM,13,2,6,0,0,21
11/19/2019,Tuesday,9:30 AM,18,6,9,4,0,37
11/19/2019,Tuesday,10:30 AM,33,9,25,5,2,74
