Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
6/26/2019,Wednesday,6:30 PM,2,2,3,1,0,8
6/26/2019,Wednesday,8:30 PM,3,1,3,0,0,7
6/27/2019,Thursday,7:30 AM,0,0,0,0,0,0
6/27/2019,Thursday,8:30 AM,5,0,10,0,0,15
6/27/2019,Thursday,9:30 AM,3,1,2,0,1,7
6/27/2019,Thursday,10:30 AM,4,1,2,0,0,7
6/27/2019,Thursday,11:30 AM,11,0,5,2,1,19
6/27/2019,Thursday,12:30 PM,15,2,7,2,2,28
6/27/2019,Thursday,1:30 PM,4,1,1,1,1,8
6/27/2019,Thursday,2:30 PM,6,0,5,1,0,12
6/27/2019,Thursday,4:30 PM,7,1,8,1,0,17
6/27/2019,Thursday,5:30 PM,9,2,5,1,0,17
6/27/2019,Thursday,6:30 PM,8,0,3,1,0,12
6/27/2019,Thursday,7:30 PM,11,0,1,1,0,13
6/27/2019,Thursday,8:30 PM,8,1,0,1,0,10
6/28/2019,Friday,7:30 AM,1,0,0,0,0,1
6/28/2019,Friday,8:30 AM,3,0,0,1,0,4
6/28/2019,Friday,9:30 AM,3,0,0,0,0,3
6/28/2019,Friday,10:30 AM,1,1,3,1,1,7
6/28/2019,Friday,11:30 AM,6,1,2,0,0,9
6/28/2019,Friday,12:30 PM,7,1,3,0,0,11
7/1/2019,Monday,7:30 AM,3,0,1,0,0,4
7/1/2019,Monday,8:30 AM,3,1,0,1,1,6
7/1/2019,Monday,9:30 AM,10,1,4,1,3,19
7/1/2019,Monday,10:30 AM,8,1,2,1,0,12
7/1/2019,Monday,11:30 AM,7,1,5,0,2,15
7/1/2019,Monday,12:30 PM,18,3,7,0,0,28
7/1/2019,Monday,1:30 PM,11,2,3,2,4,22
7/1/2019,Monday,2:30 PM,9,2,9,8,1,29
7/1/2019,Monday,4:30 PM,8,2,6,1,0,17
7/1/2019,Monday,5:30 PM,13,1,7,1,1,23
7/1/2019,Monday,6:30 PM,8,1,3,1,0,13
7/1/2019,Monday,7:30 PM,5,0,4,1,0,10
7/1/2019,Monday,8:30 PM,3,0,1,0,0,4
7/2/2019,Tuesday,7:30 AM,0,0,0,0,0,0
7/2/2019,Tuesday,8:30 AM,3,1,2,0,0,6
7/2/2019,Tuesday,9:30 AM,6,2,1,2,1,12
7/2/2019,Tuesday,10:30 AM,16,1,1,8,1,27
7/2/2019,Tuesday,11:30 AM,10,0,1,2,0,13
7/2/2019,Tuesday,12:30 PM,13,1,5,1,1,21
7/2/2019,Tuesday,1:30 PM,7,0,4,1,0,12
7/2/2019,Tuesday,2:30 PM,7,0,9,1,0,17
7/2/2019,Tuesday,4:30 PM,10,1,6,4,0,21
7/2/2019,Tuesday,5:30 PM,10,2,10,3,0,25
7/2/2019,Tuesday,7:30 PM,5,0,2,1,0,8
7/2/2019,Tuesday,8:30 PM,3,0,1,0,0,4
7/3/2019,Wednesday,7:30 AM,0,0,0,0,0,0
7/3/2019,Wednesday,8:30 AM,5,1,1,0,0,7
7/3/2019,Wednesday,9:30 AM,6,0,2,2,1,11
7/3/2019,Wednesday,10:30 AM,7,3,2,7,0,19
7/3/2019,Wednesday,11:30 AM,6,2,3,5,0,16
7/3/2019,Wednesday,12:30 PM,9,0,9,0,0,18
7/3/2019,Wednesday,1:30 PM,3,2,4,2,0,11
7/3/2019,Wednesday,2:30 PM,7,2,3,1,0,13
7/3/2019,Wednesday,5:30 PM,6,1,4,1,0,12
7/3/2019,Wednesday,6:30 PM,2,1,2,1,0,6
7/3/2019,Wednesday,8:30 PM,5,0,2,0,0,7
7/5/2019,Friday,7:30 AM,1,0,0,0,0,1
7/5/2019,Friday,8:30 AM,2,0,0,1,0,3
7/5/2019,Friday,9:30 AM,3,1,1,1,0,6
7/5/2019,Friday,10:30 AM,4,1,1,1,0,7
7/5/2019,Friday,11:30 AM,3,1,0,0,0,4
7/5/2019,Friday,12:30 PM,2,2,1,0,0,5
7/8/2019,Monday,7:30 AM,1,0,0,0,0,1
7/8/2019,Monday,8:30 AM,3,1,0,2,0,6
7/8/2019,Monday,9:30 AM,10,1,4,3,4,22
7/8/2019,Monday,9:30 AM,26,2,6,3,2,39
7/8/2019,Monday,11:30 AM,8,2,9,0,1,20
7/8/2019,Monday,12:30 PM,20,2,12,0,3,37
7/8/2019,Monday,1:30 PM,8,2,3,1,2,16
7/8/2019,Monday,2:30 PM,15,4,9,0,0,28
7/9/2019,Tuesday,7:30 AM,1,0,0,0,0,1
7/9/2019,Tuesday,8:30 AM,6,1,0,1,0,8
7/9/2019,Tuesday,9:30 AM,5,0,3,0,0,8
7/9/2019,Tuesday,9:30 AM,5,0,3,0,0,8
7/9/2019,Tuesday,10:30 AM,14,0,5,3,0,22
7/9/2019,Tuesday,11:30 AM,12,1,3,2,0,18
7/9/2019,Tuesday,12:30 PM,11,2,5,2,0,20
7/9/2019,Tuesday,1:30 PM,10,1,5,1,0,17
7/10/2019,Wednesday,7:30 AM,1,0,0,0,0,1
7/10/2019,Wednesday,8:30 AM,3,1,0,0,0,4
7/10/2019,Wednesday,9:30 AM,9,1,3,1,0,14
7/10/2019,Wednesday,10:30 AM,10,0,5,3,0,18
7/10/2019,Wednesday,11:30 AM,8,1,6,1,0,16
7/10/2019,Wednesday,12:30 PM,18,1,14,0,0,33
7/10/2019,Wednesday,1:30 PM,7,3,7,0,0,17
7/10/2019,Wednesday,2:30 PM,10,5,11,0,0,26
7/11/2019,Thursday,7:30 AM,0,0,0,0,0,0
7/11/2019,Thursday,8:30 AM,7,0,13,0,0,20
7/11/2019,Thursday,9:30 AM,6,1,3,0,0,10
7/11/2019,Thursday,10:30 AM,11,2,5,0,0,18
7/11/2019,Thursday,11:30 AM,10,1,9,3,1,24
7/11/2019,Thursday,12:30 PM,14,2,6,0,1,23
7/11/2019,Thursday,1:30 PM,10,1,4,2,0,17
7/11/2019,Thursday,4:30 PM,6,2,2,2,0,12
7/11/2019,Thursday,5:30 PM,9,1,1,1,0,12
7/11/2019,Thursday,6:30 PM,7,0,1,1,0,9
7/11/2019,Thursday,7:30 PM,3,0,1,1,0,5
7/11/2019,Thursday,8:30 PM,4,0,2,0,0,6
7/12/2019,Friday,7:30 AM,1,0,0,0,0,1
7/12/2019,Friday,8:30 AM,3,0,0,1,0,4
7/12/2019,Friday,10:30 AM,11,1,4,6,0,22
7/12/2019,Friday,11:30 AM,8,1,5,0,0,14
7/15/2019,Monday,7:30 AM,3,0,2,1,0,6
7/15/2019,Monday,8:30 AM,6,2,0,1,0,9
7/15/2019,Monday,9:30 AM,3,1,6,1,0,11
7/15/2019,Monday,10:30 AM,9,3,5,4,0,21
7/15/2019,Monday,11:30 AM,14,4,10,2,0,30
7/15/2019,Monday,12:30 PM,20,5,9,0,0,34
7/15/2019,Monday,1:30 PM,12,2,3,1,0,18
7/15/2019,Monday,2:30 PM,14,2,7,0,0,23
7/15/2019,Monday,4:30 PM,14,4,11,2,0,31
7/15/2019,Monday,5:30 PM,11,2,4,6,1,24
7/15/2019,Monday,6:30 PM,9,2,1,5,1,18
7/15/2019,Monday,7:30 PM,6,1,1,5,0,13
7/15/2019,Monday,8:30 PM,3,0,2,1,0,6
7/16/2019,Tuesday,7:30 AM,1,0,0,0,0,1
7/16/2019,Tuesday,8:30 AM,5,0,2,0,0,7
7/16/2019,Tuesday,9:30 AM,5,0,3,0,1,9
7/16/2019,Tuesday,10:30 AM,8,1,7,5,0,21
7/16/2019,Tuesday,4:30 PM,10,1,6,2,0,19
7/16/2019,Tuesday,5:30 PM,10,1,5,2,0,18
7/16/2019,Tuesday,6:30 PM,8,0,4,2,0,14
7/16/2019,Tuesday,7:30 PM,1,0,2,0,1,4
7/16/2019,Tuesday,8:30 PM,3,0,1,0,0,4
7/17/2019,Wednesday,7:30 AM,1,0,0,0,1,2
7/17/2019,Wednesday,8:30 AM,7,1,0,1,1,10
7/17/2019,Wednesday,9:30 AM,6,3,1,1,0,11
7/17/2019,Wednesday,10:30 AM,6,3,5,6,0,20
7/17/2019,Wednesday,11:30 AM,8,1,13,9,0,31
7/17/2019,Wednesday,12:30 PM,9,2,11,4,0,26
7/17/2019,Wednesday,1:30 PM,10,4,14,8,0,36
7/17/2019,Wednesday,2:30 PM,7,4,16,6,0,33
7/17/2019,Wednesday,5:30 PM,12,0,5,2,0,19
7/17/2019,Wednesday,6:30 PM,10,0,4,2,0,16
7/17/2019,Wednesday,7:30 PM,6,2,3,2,0,13
7/17/2019,Wednesday,8:30 PM,3,2,2,0,0,7
7/18/2019,Thursday,7:30 AM,0,0,0,0,0,0
7/18/2019,Thursday,8:30 AM,3,2,1,0,0,6
7/18/2019,Thursday,9:30 AM,5,0,1,0,0,6
7/18/2019,Thursday,10:30 AM,5,2,5,0,0,12
7/18/2019,Thursday,11:30 AM,9,2,11,3,0,25
7/18/2019,Thursday,12:30 PM,11,0,10,2,3,26
7/18/2019,Thursday,1:30 PM,5,1,9,1,3,19
7/18/2019,Thursday,2:30 PM,7,2,11,2,0,22
7/18/2019,Thursday,3:30 PM,7,1,7,1,0,16
7/18/2019,Thursday,4:30 PM,8,1,5,1,0,15
7/18/2019,Thursday,5:30 PM,5,3,1,0,2,11
7/18/2019,Thursday,6:30 PM,2,1,0,0,0,3
7/18/2019,Thursday,7:30 PM,2,0,1,0,0,3
7/18/2019,Thursday,8:30 PM,1,0,0,0,2,3
7/19/2019,Friday,7:30 AM,1,0,0,0,0,1
7/19/2019,Friday,8:30 AM,2,0,1,0,0,3
7/19/2019,Friday,9:30 AM,3,0,0,7,1,11
7/19/2019,Friday,10:30 AM,5,1,5,8,0,19
7/19/2019,Friday,11:30 AM,6,3,6,5,1,21
7/22/2019,Monday,7:30 AM,2,0,2,0,0,4
7/22/2019,Monday,8:30 AM,5,0,7,4,0,16
7/22/2019,Monday,9:30 AM,5,2,4,0,5,16
7/22/2019,Monday,10:30 AM,6,3,3,1,0,13
7/22/2019,Monday,11:30 AM,28,3,7,0,0,38
7/22/2019,Monday,12:30 PM,21,2,11,6,2,42
7/22/2019,Monday,1:30 PM,10,2,3,0,2,17
7/22/2019,Monday,2:30 PM,12,5,6,0,0,23
7/22/2019,Monday,4:30 PM,13,0,6,0,0,19
7/22/2019,Monday,6:30 PM,16,1,4,1,0,22
7/22/2019,Monday,8:30 PM,6,1,1,0,0,8
7/23/2019,Tuesday,7:30 AM,1,0,0,0,0,1
7/23/2019,Tuesday,8:30 AM,5,0,3,1,0,9
