Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
2/21/2019,Thursday,8:30 PM,9,0,1,0,0,10
2/22/2019,Friday,8:30 AM,3,0,1,1,0,5
2/22/2019,Friday,9:30 AM,7,0,1,1,1,10
2/22/2019,Friday,10:30 AM,11,6,3,4,0,24
2/22/2019,Friday,12:30 PM,14,2,2,1,2,21
2/22/2019,Friday,2:30 PM,8,1,4,0,0,13
2/22/2019,Friday,5:30 PM,13,2,3,1,0,19
2/22/2019,Friday,6:30 PM,5,2,5,1,0,13
2/22/2019,Friday,7:30 PM,7,0,4,1,0,12
2/22/2019,Friday,8:30 PM,1,0,0,0,0,1
2/22/2019,Saturday,9:30 AM,2,0,2,0,0,4
2/23/2019,Saturday,10:30 AM,4,0,5,0,0,9
2/23/2019,Saturday,11:30 AM,8,0,5,0,0,13
2/23/2019,Saturday,12:30 PM,5,1,12,0,0,18
2/23/2019,Saturday,1:30 PM,9,1,6,0,0,16
2/23/2019,Saturday,2:30 PM,6,1,5,0,0,12
2/23/2019,Saturday,3:30 PM,9,3,4,0,0,16
2/23/2019,Saturday,4:30 PM,9,2,5,0,2,18
2/23/2019,Saturday,5:30 PM,1,1,0,0,0,2
2/25/2019,Monday,7:30 AM,4,0,1,0,0,5
2/25/2019,Monday,8:30 AM,14,3,7,1,0,25
2/25/2019,Monday,9:30 AM,18,4,13,8,3,46
2/25/2019,Monday,10:30 AM,20,12,17,11,2,62
2/25/2019,Monday,11:30 AM,23,6,21,10,4,64
2/25/2019,Monday,12:30 PM,38,14,33,18,4,107
2/25/2019,Monday,1:30 PM,25,7,15,5,2,54
2/25/2019,Monday,2:30 PM,16,7,19,2,1,45
2/25/2019,Monday,3:30 PM,25,5,10,3,1,44
2/25/2019,Monday,4:30 PM,24,5,6,5,2,42
2/25/2019,Monday,5:30 PM,11,7,29,6,4,57
2/25/2019,Monday,6:30 PM,4,4,8,3,1,20
2/25/2019,Monday,7:30 PM,7,2,3,2,1,15
2/25/2019,Monday,8:30 PM,7,2,6,2,1,18
2/26/2019,Tuesday,7:30 AM,2,1,1,0,0,4
2/26/2019,Tuesday,8:30 AM,7,2,10,2,1,22
2/26/2019,Tuesday,10:30 AM,13,5,23,0,2,43
2/26/2019,Tuesday,11:30 AM,25,7,20,2,2,56
2/26/2019,Tuesday,1:30 PM,21,6,14,3,4,48
2/26/2019,Tuesday,3:30 PM,15,2,17,6,0,40
2/26/2019,Tuesday,4:30 PM,16,4,9,7,0,36
2/26/2019,Tuesday,5:30 PM,13,4,7,4,1,29
2/26/2019,Tuesday,6:30 PM,10,0,9,2,0,21
2/26/2019,Tuesday,7:30 PM,13,0,7,1,0,21
2/26/2019,Tuesday,8:30 PM,4,1,3,0,0,8
2/27/2019,Wednesday,7:30 AM,0,0,0,0,0,0
2/27/2019,Wednesday,8:30 AM,10,2,8,2,1,23
2/27/2019,Wednesday,9:30 AM,19,4,16,6,2,47
2/27/2019,Wednesday,11:30 AM,17,6,24,3,3,53
2/27/2019,Wednesday,12:30 PM,23,11,26,7,2,69
2/27/2019,Wednesday,1:30 PM,24,9,14,0,3,50
2/27/2019,Wednesday,2:30 PM,15,7,12,7,3,44
2/27/2019,Wednesday,3:30 PM,19,5,17,6,0,47
2/27/2019,Wednesday,4:30 PM,23,5,12,6,0,46
2/27/2019,Wednesday,6:30 PM,10,1,4,2,2,19
2/27/2019,Wednesday,7:30 PM,14,1,3,1,0,19
2/27/2019,Wednesday,8:30 PM,5,0,0,0,0,5
2/28/2019,Thursday,7:30 AM,1,0,0,0,0,1
2/28/2019,Thursday,8:30 AM,1,0,2,0,0,3
2/28/2019,Thursday,9:30 AM,3,0,1,0,0,4
2/28/2019,Thursday,10:30 AM,3,0,1,0,0,4
2/28/2019,Thursday,11:30 AM,7,0,1,1,1,10
2/28/2019,Thursday,12:30 PM,7,0,1,2,2,12
2/28/2019,Thursday,1:30 PM,2,1,3,1,1,8
2/28/2019,Thursday,5:30 PM,5,3,6,4,0,18
2/28/2019,Thursday,6:30 PM,11,3,6,5,0,25
2/28/2019,Thursday,7:30 PM,5,3,5,1,0,14
2/28/2019,Thursday,8:30 PM,5,0,0,0,0,5
3/1/2019,Friday,7:30 AM,1,0,0,0,0,1
3/1/2019,Friday,8:30 AM,1,0,2,0,0,3
3/1/2019,Friday,9:30 AM,3,0,11,0,0,14
3/1/2019,Friday,10:30 AM,3,0,1,0,0,4
3/1/2019,Friday,11:30 AM,7,0,1,1,1,10
