Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Submitted By,timestamp,Total
2021-05-21,Friday,2:30 PM,0,0,0,0,2,Library Counts User,05-21-2021 2:29:25,2
2021-05-21,Friday,3:30 PM,4,0,0,0,2,Library Counts User,05-21-2021 3:30:17,6
2021-05-24,Monday,7:30 AM,1,0,0,0,0,Library Counts User,05-24-2021 7:37:14,1
2021-05-24,Monday,8:30 AM,3,0,0,0,1,Library Counts User,05-24-2021 8:34:49,4
2021-05-24,Monday,9:30 AM,2,0,0,0,2,Library Counts User,05-24-2021 9:33:01,4
2021-05-24,Monday,10:30 AM,3,0,0,0,1,Library Counts User,05-24-2021 10:33:33,4
2021-05-24,Monday,11:30 AM,3,0,0,0,0,Library Counts User,05-24-2021 12:43:02,3
2021-05-24,Monday,12:30 PM,3,0,0,0,0,Library Counts User,05-24-2021 12:44:06,3
2021-05-24,Monday,1:30 PM,4,0,0,0,0,Library Counts User,05-24-2021 1:34:31,4
2021-05-24,Monday,2:30 PM,0,0,0,0,1,Library Counts User,05-24-2021 2:31:36,1
2021-05-24,Monday,3:30 PM,2,0,0,0,0,Library Counts User,05-24-2021 3:48:19,2
2021-05-24,Monday,4:30 PM,1,0,0,0,0,Library Counts User,05-24-2021 4:31:13,1
2021-05-24,Monday,5:30 PM,1,2,0,0,0,Library Counts User,05-24-2021 5:31:23,3
2021-05-25,Tuesday,7:30 AM,0,0,0,0,0,Library Counts User,05-25-2021 7:33:09,0
2021-05-25,Tuesday,8:30 AM,0,0,0,0,0,Library Counts User,05-25-2021 8:30:50,0
2021-05-25,Tuesday,9:30 AM,1,0,0,0,0,Library Counts User,05-25-2021 9:31:28,1
2021-05-25,Tuesday,10:30 AM,0,0,0,0,1,Library Counts User,05-25-2021 10:30:21,1
2021-05-25,Tuesday,11:30 AM,0,0,0,0,0,Library Counts User,05-25-2021 11:29:19,0
2021-05-25,Tuesday,12:30 PM,0,0,0,0,0,Library Counts User,05-25-2021 12:40:54,0
2021-05-25,Tuesday,1:30 PM,1,0,0,0,0,Library Counts User,05-25-2021 1:30:46,1
2021-05-25,Tuesday,2:30 PM,0,0,0,0,0,Library Counts User,05-25-2021 2:30:26,0
2021-05-25,Tuesday,3:30 PM,2,0,0,0,0,Library Counts User,05-25-2021 3:29:45,2
2021-05-25,Tuesday,3:30 PM,0,0,0,1,0,Library Counts User,05-25-2021 3:33:23,1
2021-05-25,Tuesday,4:30 PM,3,0,0,0,0,Library Counts User,05-25-2021 4:30:20,3
2021-05-25,Tuesday,5:30 PM,3,0,0,0,0,Library Counts User,05-25-2021 5:25:12,3
2021-05-26,Wednesday,9:30 AM,0,0,0,0,0,Library Counts User,05-26-2021 9:31:09,0
2021-05-26,Wednesday,10:30 AM,2,0,0,0,0,Library Counts User,05-26-2021 10:31:51,2
2021-05-26,Wednesday,11:30 AM,2,0,0,0,0,Library Counts User,05-26-2021 11:30:52,2
2021-05-26,Wednesday,12:30 PM,2,0,0,0,0,Library Counts User,05-26-2021 12:30:53,2
2021-05-26,Wednesday,1:30 PM,2,0,0,0,0,Library Counts User,05-26-2021 1:30:33,2
