Date,DayOfWeek,Time,Computers,Tables,StudySpaces,QuietArea,Alcove,Total,timestamp
2019-10-12,Saturday,12:30 PM,5,4,0,0,2,11,10/12/2019
2019-10-12,Saturday,1:30 PM,4,2,1,0,1,8,10/12/2019
2019-10-14,Monday,8:30 AM,12,2,6,3,2,25,10/14/2019
2019-10-14,Monday,9:30 AM,25,14,16,12,4,71,10/14/2019
2019-10-14,Monday,10:30 AM,35,24,14,13,4,90,10/14/2019
2019-10-14,Monday,11:30 AM,35,16,7,18,10,86,10/14/2019
2019-10-14,Monday,12:30 PM,34,22,7,17,4,84,10/14/2019
2019-10-14,Monday,2:30 PM,35,5,7,7,4,58,10/14/2019
2019-10-14,Monday,3:30 PM,14,7,8,7,3,39,10/14/2019
2019-10-14,Monday,4:30 PM,12,11,4,10,3,40,10/14/2019
2019-10-14,Monday,5:30 PM,15,6,5,7,4,37,10/14/2019
2019-10-14,Monday,6:30 PM,3,2,10,3,1,19,10/14/2019
2019-10-14,Monday,7:30 PM,5,3,6,2,1,17,10/14/2019
2019-10-14,Monday,8:30 PM,6,3,1,0,1,11,10/14/2019
2019-10-15,Tuesday,8:30 AM,30,13,12,10,3,68,10/15/2019
2019-10-15,Tuesday,9:30 AM,13,6,10,9,3,41,10/15/2019
2019-10-15,Tuesday,10:30 AM,25,6,12,12,4,59,10/15/2019
2019-10-15,Tuesday,11:30 AM,25,13,10,13,3,64,10/15/2019
2019-10-15,Tuesday,12:30 PM,27,22,15,20,3,87,10/15/2019
2019-10-15,Tuesday,1:30 PM,13,1,14,9,6,43,10/15/2019
2019-10-15,Tuesday,1:30 PM,19,6,13,11,1,50,10/15/2019
2019-10-15,Tuesday,3:30 PM,20,6,8,4,10,48,10/15/2019
2019-10-15,Tuesday,4:30 PM,14,7,2,8,5,36,10/15/2019
2019-10-15,Tuesday,5:30 PM,11,2,6,6,0,25,10/15/2019
2019-10-15,Tuesday,6:30 PM,9,2,12,3,1,27,10/15/2019
2019-10-15,Tuesday,7:30 PM,5,0,8,3,1,17,10/15/2019
2019-10-15,Tuesday,8:30 PM,5,0,1,1,0,7,10/15/2019
2019-10-16,Wednesday,8:30 AM,20,7,3,13,4,47,10/16/2019
2019-10-16,Wednesday,9:30 AM,16,5,6,7,3,37,10/16/2019
2019-10-16,Wednesday,10:30 AM,20,20,11,15,6,72,10/16/2019
2019-10-16,Wednesday,10:30 AM,39,6,8,5,12,70,10/16/2019
2019-10-16,Wednesday,11:30 AM,12,11,6,13,6,48,10/16/2019
2019-10-16,Wednesday,12:30 PM,23,28,14,20,7,92,10/16/2019
2019-10-16,Wednesday,5:30 PM,21,7,3,6,5,42,10/16/2019
