Date,Time,Computers,Tables,StudySpaces,QuietArea,Alcove,Total,timestamp
2021-10-09,12:30 PM,2,0,0,1,0,3,10-09-2021 12:38:23
2021-10-11,7:30 PM,5,2,5,1,0,13,10-11-2021 7:26:58
2021-10-11,8:30 PM,0,0,1,0,0,1,10-11-2021 8:37:09
2021-10-12,6:30 PM,1,4,2,1,1,9,10-12-2021 6:24:18
2021-10-12,7:30 PM,2,1,0,2,0,5,10-12-2021 7:29:10
2021-10-13,6:30 PM,1,2,2,4,0,9,10-13-2021 6:27:12
2021-10-13,7:30 PM,4,1,1,0,3,9,10-13-2021 7:26:38
2021-10-14,5:30 PM,6,0,0,2,2,10,10-14-2021 5:30:39
2021-10-14,6:30 PM,4,1,0,0,0,5,10-14-2021 6:28:15
2021-10-14,7:30 PM,2,2,1,1,0,6,10-14-2021 7:31:24
2021-10-14,8:30 PM,0,0,1,0,0,1,10-14-2021 8:34:09
2021-10-16,10:30 AM,0,0,1,0,0,1,10-16-2021 11:28:15
2021-10-16,11:30 AM,0,0,1,0,0,1,10-16-2021 11:28:25
2021-10-16,12:30 PM,1,0,0,0,0,1,10-16-2021 12:28:54
2021-10-18,6:30 PM,8,1,6,2,1,18,10-18-2021 7:15:43
2021-10-18,7:30 PM,5,0,1,1,0,7,10-18-2021 7:42:36
2021-10-18,8:30 PM,3,0,0,0,0,3,10-18-2021 8:35:19
2021-10-19,6:30 PM,4,0,0,1,0,5,10-19-2021 6:43:18
2021-10-19,7:30 PM,0,0,0,0,0,0,10-19-2021 7:37:31
2021-10-19,8:30 PM,1,0,0,0,0,1,10-19-2021 8:32:57
2021-10-20,6:30 PM,4,0,1,1,1,7,10-20-2021 7:31:20
2021-10-20,7:30 PM,1,0,1,1,0,3,10-20-2021 7:31:32
2021-10-21,5:30 PM,2,1,1,0,2,6,10-21-2021 6:07:43
2021-10-21,6:30 PM,2,0,1,0,2,5,10-21-2021 7:02:57
2021-10-21,7:30 PM,2,0,0,0,0,2,10-21-2021 7:33:10
2021-10-21,8:30 PM,3,0,0,0,0,3,10-21-2021 8:24:48
2021-10-26,10:30 AM,10,12,4,3,2,31,2021-10-26T15:44:40.727Z
2021-10-26,11:30 AM,5,10,4,4,1,24,2021-10-26T16:26:09.117Z
2021-10-27,8:30 AM,3,2,1,1,2,9,2021-10-27T13:54:11.406Z
2021-10-27,9:30 AM,3,6,2,4,2,17,2021-10-27T15:00:59.402Z
2021-10-27,10:30 AM,4,8,1,3,2,18,2021-10-27T15:36:11.532Z
2021-10-27,11:30 AM,2,3,3,4,1,13,2021-10-27T16:31:06.417Z
2021-10-28,8:30 AM,3,5,0,1,2,11,2021-10-28T14:34:59.208Z
2021-10-28,9:30 AM,5,8,2,3,2,20,2021-10-28T14:39:13.326Z
2021-10-28,10:30 AM,8,22,6,6,2,44,2021-10-28T15:39:58.980Z
2021-10-28,11:30 AM,6,24,12,6,4,52,2021-10-28T16:33:06.856Z
2021-10-28,5:30 PM,5,1,0,3,1,10,2021-10-28T22:32:26.144Z
2021-10-28,6:30 PM,2,0,2,1,0,5,2021-10-28T23:28:55.315Z
2021-10-28,6:30 PM,2,0,2,1,0,5,2021-10-28T23:29:21.737Z
2021-10-28,7:30 PM,1,0,0,1,0,2,2021-10-29T00:24:00.084Z
2021-10-28,8:30 PM,0,0,0,0,0,0,2021-10-29T01:33:31.815Z
2021-10-29,8:30 AM,2,2,1,1,2,8,2021-10-29T15:18:50.139Z
2021-10-29,9:30 AM,2,1,2,1,2,8,2021-10-29T15:19:05.305Z
2021-10-29,10:30 AM,2,4,2,2,3,13,2021-10-29T15:19:14.633Z
2021-10-29,11:30 AM,5,1,6,1,2,15,2021-10-29T16:36:41.194Z
2021-10-30,10:30 AM,1,0,0,0,0,1,2021-10-30T15:38:42.518Z
2021-10-30,11:30 AM,0,0,0,1,0,1,2021-10-30T16:21:14.480Z
2021-10-30,12:30 PM,1,0,0,1,0,2,2021-10-30T17:36:38.200Z
2021-10-30,1:30 PM,0,0,0,0,0,0,2021-10-30T18:22:38.033Z
2021-11-01,8:30 AM,4,8,0,3,2,17,2021-11-01T13:31:55.776Z
2021-11-01,10:30 AM,5,8,12,6,2,33,2021-11-01T15:31:23.302Z
2021-11-01,11:30 AM,6,10,12,5,4,37,2021-11-01T16:26:30.673Z
2021-11-01,5:30 PM,5,2,0,2,0,9,2021-11-01T22:43:13.725Z
2021-11-01,6:30 PM,0,0,1,1,0,2,2021-11-01T23:36:00.810Z
2021-11-01,7:30 PM,0,0,1,1,0,2,2021-11-02T00:20:41.098Z
2021-11-01,8:30 PM,1,0,0,0,0,1,2021-11-02T01:40:09.501Z
2021-11-02,8:30 AM,5,5,3,2,2,17,2021-11-02T15:25:21.996Z
2021-11-02,9:30 AM,6,5,4,4,5,24,2021-11-02T15:25:34.398Z
2021-11-02,10:30 AM,6,10,8,6,2,32,2021-11-02T15:25:56.660Z
2021-11-02,11:30 AM,6,15,8,6,3,38,2021-11-02T16:20:00.819Z
2021-11-02,12:30 PM,11,15,2,11,0,39,2021-11-02T17:05:30.214Z
2021-11-02,1:30 PM,5,8,4,2,0,19,2021-11-02T18:10:20.717Z
2021-11-02,3:30 PM,6,6,2,4,0,18,2021-11-02T20:08:20.617Z
2021-11-02,5:30 PM,6,1,4,2,0,13,2021-11-02T22:24:52.766Z
2021-11-02,6:30 PM,2,2,20,1,0,25,2021-11-02T23:47:53.192Z
2021-11-02,7:30 PM,1,2,18,0,0,21,2021-11-03T00:31:53.498Z
2021-11-02,8:30 PM,0,1,10,0,0,11,2021-11-03T01:36:04.670Z
2021-11-03,8:30 AM,3,4,1,4,1,13,2021-11-03T15:47:47.182Z
2021-11-03,9:30 AM,4,6,2,3,1,16,2021-11-03T15:48:10.791Z
2021-11-03,10:30 AM,8,12,6,6,2,34,2021-11-03T15:48:31.706Z
2021-11-03,11:30 AM,8,6,5,4,2,25,2021-11-03T16:43:20.789Z
2021-11-03,7:30 PM,4,2,4,3,0,13,2021-11-04T00:36:46.751Z
2021-11-03,8:30 PM,0,1,0,1,0,2,2021-11-04T01:33:31.191Z
2021-11-04,8:30 AM,4,2,3,2,2,13,2021-11-04T14:21:44.869Z
2021-11-04,9:30 AM,4,10,3,1,2,20,2021-11-04T14:21:56.329Z
2021-11-04,12:30 PM,5,10,2,3,0,20,2021-11-04T17:04:54.335Z
2021-11-04,5:30 PM,6,2,3,2,2,15,2021-11-04T22:44:17.091Z
2021-11-04,6:30 PM,1,0,2,1,1,5,2021-11-04T23:27:43.473Z
2021-11-04,7:30 PM,2,1,2,1,0,6,2021-11-05T00:34:31.490Z
2021-11-05,8:30 AM,2,0,0,1,0,3,2021-11-05T13:41:15.910Z
2021-11-06,10:30 AM,2,0,0,1,0,3,2021-11-06T15:34:48.703Z
2021-11-06,11:30 AM,1,0,2,1,0,4,2021-11-06T16:48:06.391Z
2021-11-06,12:30 PM,3,0,2,2,0,7,2021-11-06T17:34:11.911Z
2021-11-06,1:30 PM,2,0,2,1,0,5,2021-11-06T18:28:53.654Z
2021-11-08,8:30 AM,3,5,1,5,2,16,2021-11-08T15:27:38.728Z
2021-11-08,9:30 AM,15,3,2,3,1,24,2021-11-08T15:28:16.217Z
2021-11-08,5:30 PM,3,0,2,2,2,9,2021-11-08T23:39:42.256Z
2021-11-08,6:30 PM,3,0,2,1,0,6,2021-11-09T00:25:13.922Z
2021-11-08,7:30 PM,1,0,0,1,0,2,2021-11-09T02:00:53.090Z
2021-11-08,8:30 PM,1,0,0,0,0,1,2021-11-09T02:36:58.093Z
2021-11-09,9:30 AM,1,4,2,2,3,12,2021-11-09T15:00:54.882Z
2021-11-09,9:30 AM,8,8,4,3,2,25,2021-11-09T15:46:00.107Z
2021-11-09,5:30 PM,4,3,7,2,0,16,2021-11-09T23:29:05.026Z
2021-11-09,6:30 PM,3,1,2,1,0,7,2021-11-10T00:34:28.432Z
2021-11-09,7:30 PM,2,0,0,1,0,3,2021-11-10T01:47:47.405Z
2021-11-10,8:30 AM,5,8,1,3,2,19,2021-11-10T15:26:20.718Z
2021-11-10,9:30 AM,2,3,0,2,5,12,2021-11-10T15:26:44.783Z
2021-11-10,10:30 AM,5,3,2,6,1,17,2021-11-10T17:30:48.544Z
2021-11-10,11:30 AM,8,15,3,6,2,34,2021-11-10T17:31:04.070Z
2021-11-10,5:30 PM,7,0,2,1,0,10,2021-11-10T23:31:21.583Z
2021-11-10,6:30 PM,2,0,1,1,0,4,2021-11-11T00:45:51.917Z
2021-11-11,8:30 AM,2,1,1,1,1,6,2021-11-11T14:34:12.347Z
2021-11-11,9:30 AM,7,8,2,3,2,22,2021-11-11T15:29:22.821Z
2021-11-11,6:30 PM,1,1,1,0,1,4,2021-11-12T00:31:36.011Z
2021-11-11,7:30 PM,1,0,0,0,1,2,2021-11-12T01:38:50.148Z
2021-11-11,8:30 PM,1,0,0,1,1,3,2021-11-12T02:26:19.013Z
2021-11-13,10:30 AM,2,0,0,0,0,2,2021-11-13T16:43:06.351Z
2021-11-13,11:30 AM,1,1,0,1,0,3,2021-11-13T17:25:31.182Z
2021-11-13,12:30 PM,0,2,0,2,0,4,2021-11-13T18:33:45.510Z
2021-11-13,1:30 PM,0,0,0,0,0,0,2021-11-13T19:51:46.014Z
2021-11-15,8:30 AM,2,4,1,1,2,10,2021-11-15T15:36:38.081Z
2021-11-15,9:30 AM,5,8,4,2,2,21,2021-11-15T15:36:53.558Z
2021-11-15,10:30 AM,8,12,10,3,2,35,2021-11-15T16:48:53.215Z
2021-11-15,5:30 PM,5,1,4,2,0,12,2021-11-15T23:49:34.476Z
2021-11-15,6:30 PM,1,0,3,1,1,6,2021-11-16T00:32:35.862Z
2021-11-15,7:30 PM,1,0,10,1,0,12,2021-11-16T01:27:00.569Z
2021-11-15,8:30 PM,0,0,0,1,0,1,2021-11-16T02:47:04.518Z
2021-11-16,8:30 AM,3,2,2,1,1,9,2021-11-16T15:03:57.745Z
2021-11-16,9:30 AM,5,8,2,2,1,18,2021-11-16T15:36:51.977Z
2021-11-16,10:30 AM,8,6,15,4,2,35,2021-11-16T16:24:16.561Z
2021-11-16,11:30 AM,12,8,10,5,4,39,2021-11-16T17:19:58.617Z
2021-11-16,5:30 PM,6,2,6,1,0,15,2021-11-16T23:39:08.761Z
2021-11-16,6:30 PM,1,3,2,2,0,8,2021-11-17T00:41:16.344Z
2021-11-16,7:30 PM,1,0,2,1,0,4,2021-11-17T01:30:35.654Z
2021-11-16,8:30 PM,0,0,2,1,1,4,2021-11-17T02:27:42.597Z
2021-11-17,8:30 AM,1,2,2,2,3,10,2021-11-17T14:31:07.485Z
