Semester,Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
Spring 2019,1/26/2019,Saturday,5:30 PM,3,1,0,0,0,4
Spring 2019,1/28/2019,Monday,7:30 AM,2,0,1,0,0,3
Spring 2019,1/28/2019,Monday,8:30 AM,8,0,6,0,1,15
Spring 2019,1/28/2019,Monday,9:30 AM,18,4,16,3,0,41
Spring 2019,1/28/2019,Monday,11:30 AM,23,5,25,8,3,64
Spring 2019,1/28/2019,Monday,1:30 PM,27,6,24,2,0,59
Spring 2019,1/28/2019,Monday,2:30 PM,24,6,21,0,8,59
Spring 2019,1/28/2019,Monday,3:30 PM,19,8,9,5,0,41
Spring 2019,1/28/2019,Monday,6:30 PM,14,5,5,0,0,24
Spring 2019,1/28/2019,Monday,7:30 PM,14,4,5,3,0,26
Spring 2019,1/28/2019,Monday,8:30 PM,16,4,6,3,0,29
Spring 2019,1/29/2019,Tuesday,7:30 AM,0,0,0,0,0,0
Spring 2019,1/29/2019,Tuesday,8:30 AM,16,3,3,6,1,29
Spring 2019,1/29/2019,Tuesday,9:30 AM,24,2,10,6,4,46
Spring 2019,1/29/2019,Tuesday,10:30 AM,29,3,15,9,3,59
Spring 2019,1/29/2019,Tuesday,11:30 AM,25,5,18,2,4,54
Spring 2019,1/29/2019,Tuesday,12:30 PM,44,7,28,5,9,93
Spring 2019,1/29/2019,Tuesday,1:30 PM,17,4,18,2,0,41
Spring 2019,1/29/2019,Tuesday,3:30 PM,17,3,17,5,0,42
Spring 2019,1/29/2019,Tuesday,4:30 PM,11,3,9,6,0,29
Spring 2019,1/29/2019,Tuesday,5:30 PM,13,6,11,1,2,33
Spring 2019,1/29/2019,Tuesday,6:30 PM,13,2,6,1,0,22
Spring 2019,1/29/2019,Tuesday,7:30 PM,6,1,6,2,0,15
Spring 2019,1/30/2019,Wednesday,7:30 AM,4,0,0,0,0,4
Spring 2019,1/30/2019,Wednesday,8:30 AM,9,3,9,3,5,29
Spring 2019,1/30/2019,Wednesday,9:30 AM,23,4,12,4,3,46
Spring 2019,1/30/2019,Wednesday,10:30 AM,23,8,15,7,5,58
Spring 2019,1/30/2019,Wednesday,11:30 AM,26,8,25,6,3,68
Spring 2019,1/30/2019,Wednesday,12:30 PM,40,21,44,11,13,129
Spring 2019,1/30/2019,Wednesday,1:30 PM,28,9,17,8,2,64
Spring 2019,1/30/2019,Wednesday,2:30 PM,23,6,22,4,7,62
Spring 2019,1/30/2019,Wednesday,3:30 PM,20,5,17,4,5,51
Spring 2019,1/30/2019,Wednesday,4:30 PM,22,5,9,1,4,41
Spring 2019,1/30/2019,Wednesday,5:30 PM,22,6,12,6,0,46
Spring 2019,1/30/2019,Wednesday,6:30 PM,5,5,3,2,0,15
